Business_ID,Business_Name,Industry,Country,State_Province,City,Event_Date,Year,Climate_Event,Severity,Temperature_Change_C,Rainfall_Deviation_Percent,Exposure_Score,Vulnerability_Score,Risk_Score,Risk_Level,Downtime_Days,Revenue_Loss_USD,Property_Damage_USD,Supply_Chain_Disruption,Employees_Affected,Recovery_Days,Risk_Mitigation_Investment_USD
B0031,RETA_0031,Retail,Brazil,Rio de Janeiro,Rio de Janeiro,2026-08-17,2026,Cyclone,Medium,1.77,16.15,63.25,58.09,73,High,16,993406.27,322088.06,High,174,27,147138.2
B0032,TRAN_0032,Transportation,United States,Texas,Houston,2023-07-11,2023,Heatwave,Medium,1.25,7.98,71.43,82.53,78,High,18,1264438.86,325205.04,High,225,37,197630.51
B0033,MANU_0033,Manufacturing,Germany,Bavaria,Munich,2023-03-21,2023,Heatwave,Medium,0.2,-13.78,46.77,59.54,39,Medium,9,839277.75,224921.03,Medium,33,30,150499.01
B0034,FINA_0034,Finance,United States,Texas,Houston,2022-02-20,2022,Cyclone,High,2.81,7.54,70.18,66.79,67,High,13,672498.9,244515.89,High,226,30,104815.99
B0035,ENER_0035,Energy,Germany,Hamburg,Hamburg,2025-05-10,2025,Flood,Medium,2.0,-4.7,70.33,68.06,80,High,15,1372715.37,657421.0,High,119,25,161934.81
B0036,AGRI_0036,Agriculture,India,Tamil Nadu,Chennai,2020-11-24,2020,Flood,Medium,1.87,15.02,71.72,62.77,65,High,17,1089969.59,571942.94,Medium,209,37,158366.19
B0037,HEAL_0037,Healthcare,Germany,Hamburg,Hamburg,2022-08-04,2022,Drought,Critical,2.24,-47.75,63.82,61.95,62,High,19,656169.71,485259.3,Medium,207,39,63800.1
B0038,HEAL_0038,Healthcare,Brazil,Rio de Janeiro,Rio de Janeiro,2024-05-08,2024,Flood,Low,0.78,-20.29,52.95,57.97,45,Medium,13,554622.4,206830.77,Medium,5,37,88750.8
B0039,TRAN_0039,Transportation,India,Andhra Pradesh,Visakhapatnam,2024-07-27,2024,Wildfire,Medium,2.09,0.35,88.08,48.01,67,High,23,932839.62,299675.48,High,148,34,164821.14
B0040,AGRI_0040,Agriculture,Japan,Tokyo,Tokyo,2025-03-16,2025,Flood,Low,0.65,-6.97,56.11,66.13,66,High,13,1339205.17,162478.47,High,188,16,214029.74
B0041,HEAL_0041,Healthcare,Germany,Hamburg,Hamburg,2026-03-03,2026,Wildfire,Low,0.84,-31.43,58.46,55.92,58,Medium,5,648982.15,151475.74,Medium,232,17,53349.39
B0042,HOSP_0042,Hospitality,Japan,Aichi,Nagoya,2022-06-12,2022,Storm,Medium,1.77,-1.07,65.32,60.23,54,Medium,16,584339.16,305817.06,Medium,261,37,29522.68
B0043,RETA_0043,Retail,India,Tamil Nadu,Chennai,2025-08-02,2025,Storm,High,2.09,46.83,69.06,91.92,80,High,22,1108088.88,603899.62,High,158,36,103115.72
B0044,CONS_0044,Construction,Australia,Victoria,Melbourne,2025-12-08,2025,Storm,Medium,1.32,-18.7,67.77,41.33,41,Medium,16,319538.35,172158.29,Medium,135,30,25043.45
B0045,HEAL_0045,Healthcare,United States,Florida,Miami,2020-07-08,2020,Storm,Medium,2.43,-3.26,66.75,72.12,74,High,16,831688.88,258872.67,High,236,30,144133.69
B0046,TRAN_0046,Transportation,Germany,Hamburg,Hamburg,2023-12-27,2023,Storm,Low,0.84,-16.03,53.83,47.73,34,Medium,6,599834.3,304616.17,Low,91,9,23441.09
B0047,AGRI_0047,Agriculture,Brazil,Bahia,Salvador,2023-05-07,2023,Heatwave,Medium,1.5,-22.4,68.59,74.22,64,High,17,1041616.36,120904.55,Medium,208,34,71925.99
B0048,HEAL_0048,Healthcare,Australia,Queensland,Brisbane,2021-11-20,2021,Drought,Medium,1.59,1.01,86.28,65.17,80,High,7,1027172.06,419075.29,High,236,9,32241.87
B0049,HOSP_0049,Hospitality,Brazil,São Paulo,São Paulo,2024-08-14,2024,Flood,Low,0.91,-14.79,78.0,43.43,45,Medium,9,963389.18,385773.36,Medium,108,27,161675.06
B0050,AGRI_0050,Agriculture,United States,California,Los Angeles,2024-01-11,2024,Storm,Critical,2.49,12.89,67.7,88.22,83,Critical,31,1647055.67,1170566.69,High,247,69,54114.22
B0051,ENER_0051,Energy,Germany,Bavaria,Munich,2022-09-24,2022,Wildfire,High,1.97,-21.44,76.81,88.26,83,Critical,23,1549048.7,771998.57,High,140,38,277221.92
B0052,TRAN_0052,Transportation,United States,California,Los Angeles,2020-02-25,2020,Cyclone,Critical,2.26,62.92,76.32,61.83,67,High,22,1201683.27,778603.81,High,79,35,77739.39
B0053,HOSP_0053,Hospitality,Brazil,Bahia,Salvador,2021-07-15,2021,Heatwave,Medium,1.39,0.55,73.3,79.44,84,Critical,13,1143134.01,499094.16,High,203,19,104247.21
B0054,MANU_0054,Manufacturing,Australia,Victoria,Melbourne,2026-02-20,2026,Wildfire,Medium,1.7,-6.12,72.03,49.09,56,Medium,21,642501.83,40071.47,Medium,154,34,90758.18
B0055,TRAN_0055,Transportation,Japan,Aichi,Nagoya,2023-02-22,2023,Wildfire,High,2.88,-21.68,64.72,58.27,58,Medium,26,939609.12,780261.59,Medium,159,64,83807.95
B0056,HEAL_0056,Healthcare,Brazil,Rio de Janeiro,Rio de Janeiro,2024-05-12,2024,Cyclone,High,2.21,-9.87,85.38,62.8,69,High,18,886286.39,434295.7,High,200,37,153535.61
B0057,RETA_0057,Retail,Germany,Bavaria,Munich,2024-11-10,2024,Flood,High,2.03,-9.06,83.72,50.45,62,High,13,859329.64,263022.99,Medium,206,28,40048.04
B0058,TECH_0058,Technology,United States,Florida,Miami,2022-04-25,2022,Flood,High,0.75,-5.67,76.46,78.62,69,High,7,732587.5,521302.33,High,158,9,89751.81
B0059,TRAN_0059,Transportation,Australia,New South Wales,Sydney,2023-02-03,2023,Flood,Medium,1.37,42.09,60.64,52.69,59,Medium,9,1020382.98,378521.63,Medium,247,23,167769.65
B0060,RETA_0060,Retail,Brazil,Bahia,Salvador,2021-08-06,2021,Cyclone,Critical,1.38,39.28,83.51,81.12,77,High,23,1201695.26,808493.86,High,274,54,205493.32
B0061,MANU_0061,Manufacturing,India,West Bengal,Kolkata,2021-06-13,2021,Wildfire,Medium,1.97,-24.72,73.72,60.88,67,High,15,1299796.13,902098.7,High,194,35,88357.14
B0062,MANU_0062,Manufacturing,Japan,Aichi,Nagoya,2020-01-10,2020,Cyclone,Critical,1.46,53.13,84.64,91.5,90,Critical,24,1030410.84,666077.59,High,27,50,173211.94
B0063,TRAN_0063,Transportation,Germany,Berlin,Berlin,2020-10-19,2020,Flood,Medium,1.55,-8.36,68.73,69.2,80,High,16,1303540.88,509801.89,High,130,26,128710.72
B0064,RETA_0064,Retail,Japan,Aichi,Nagoya,2021-06-12,2021,Cyclone,High,1.23,29.13,81.15,54.9,59,Medium,20,571223.69,324104.49,Medium,185,38,75238.22
B0065,TRAN_0065,Transportation,Brazil,Bahia,Salvador,2022-11-21,2022,Flood,Medium,1.86,18.8,76.0,59.97,63,High,19,1334155.51,846075.28,Medium,162,49,141874.26
B0066,CONS_0066,Construction,Germany,Hamburg,Hamburg,2022-05-10,2022,Heatwave,Medium,1.06,21.96,63.78,71.74,68,High,16,1032773.78,551113.57,High,200,38,151531.37
B0067,FINA_0067,Finance,Brazil,Bahia,Salvador,2021-02-25,2021,Heatwave,High,0.91,-19.35,69.71,73.56,74,High,11,711920.2,76936.08,High,172,27,88151.19
B0068,HEAL_0068,Healthcare,United States,Florida,Miami,2026-06-20,2026,Wildfire,Medium,2.17,8.57,74.57,54.64,63,High,15,902351.8,468710.62,Medium,116,28,112640.91
B0069,HOSP_0069,Hospitality,Germany,Berlin,Berlin,2026-12-09,2026,Heatwave,Critical,2.53,-33.87,84.0,58.56,68,High,22,780402.65,657460.06,High,187,61,92004.95
B0070,AGRI_0070,Agriculture,Brazil,Rio de Janeiro,Rio de Janeiro,2021-04-25,2021,Heatwave,High,1.89,-48.67,66.02,70.32,60,Medium,25,1143396.57,516884.51,Medium,100,60,67333.05
B0071,MANU_0071,Manufacturing,Brazil,São Paulo,São Paulo,2026-12-09,2026,Cyclone,High,2.33,20.02,76.68,67.93,74,High,20,1168750.03,275638.31,High,107,41,131867.42
B0072,TRAN_0072,Transportation,Brazil,São Paulo,São Paulo,2024-01-28,2024,Heatwave,High,2.26,-39.75,88.47,90.43,93,Critical,24,1684514.9,1007403.67,High,267,56,249509.64
B0073,CONS_0073,Construction,Germany,Hamburg,Hamburg,2022-04-07,2022,Wildfire,Medium,1.19,4.11,65.49,48.52,54,Medium,15,1059552.07,352270.68,Medium,168,32,31869.01
B0074,AGRI_0074,Agriculture,Germany,Bavaria,Munich,2025-05-19,2025,Storm,Low,1.28,8.19,85.01,57.82,68,High,3,1253538.99,230709.49,High,255,4,86015.08
B0075,TECH_0075,Technology,United States,New York,New York City,2025-06-09,2025,Drought,High,2.09,-2.67,49.73,59.24,55,Medium,15,516113.11,346274.67,Medium,207,35,26105.87
B0076,ENER_0076,Energy,Australia,Victoria,Melbourne,2023-03-25,2023,Heatwave,Medium,1.25,40.23,86.43,32.84,47,Medium,12,857308.77,108176.41,Medium,79,24,117091.16
B0077,TRAN_0077,Transportation,Australia,Queensland,Brisbane,2022-06-18,2022,Flood,High,2.43,10.6,61.78,68.8,54,Medium,17,984931.44,554166.7,Medium,76,36,39310.47
B0078,MANU_0078,Manufacturing,United States,Texas,Houston,2021-10-19,2021,Flood,High,1.39,8.32,81.11,68.07,84,Critical,24,1492518.27,1247122.64,High,322,46,92706.05
B0079,AGRI_0079,Agriculture,Brazil,São Paulo,São Paulo,2023-03-03,2023,Heatwave,Medium,1.59,-16.84,60.94,56.34,53,Medium,14,1078876.66,601060.13,Medium,119,46,48522.11
B0080,RETA_0080,Retail,India,West Bengal,Kolkata,2020-05-04,2020,Flood,High,1.71,35.07,89.65,67.32,86,Critical,17,952365.45,554096.86,High,259,41,143739.23
B0081,HOSP_0081,Hospitality,Brazil,São Paulo,São Paulo,2023-06-09,2023,Storm,Medium,1.18,35.3,69.79,66.95,62,High,13,1003228.61,679023.67,Medium,236,32,91595.18
B0082,AGRI_0082,Agriculture,Brazil,Rio de Janeiro,Rio de Janeiro,2024-10-27,2024,Wildfire,Critical,2.71,-36.69,76.69,56.83,72,High,35,1407295.61,628961.96,High,153,62,62196.79
B0083,TRAN_0083,Transportation,United States,Florida,Miami,2026-03-22,2026,Wildfire,Medium,1.49,2.71,68.16,62.4,59,Medium,18,1094033.2,737546.66,Medium,239,41,127834.09
B0084,MANU_0084,Manufacturing,Japan,Aichi,Nagoya,2020-11-16,2020,Drought,High,1.99,16.06,71.13,85.42,63,High,12,1074070.27,572028.7,Medium,95,32,123262.12
B0085,ENER_0085,Energy,India,Maharashtra,Mumbai,2021-06-07,2021,Flood,High,2.38,20.48,83.9,50.22,60,Medium,17,1118022.24,125562.41,Medium,195,28,198249.54
B0086,ENER_0086,Energy,Japan,Aichi,Nagoya,2022-02-12,2022,Storm,Medium,0.94,26.43,54.59,75.16,61,High,18,1401933.88,506056.7,Medium,184,41,76417.67
B0087,RETA_0087,Retail,Japan,Aichi,Nagoya,2020-01-17,2020,Cyclone,High,2.21,58.47,77.27,47.24,59,Medium,19,622535.1,401708.11,Medium,174,26,26215.13
B0088,ENER_0088,Energy,Australia,New South Wales,Sydney,2026-05-13,2026,Storm,High,1.95,20.45,78.88,76.41,73,High,18,1373526.52,488547.77,High,240,53,234022.98
B0089,CONS_0089,Construction,Germany,Hamburg,Hamburg,2020-11-27,2020,Flood,Low,1.17,-8.21,59.24,50.91,51,Medium,9,984196.72,0.0,Medium,189,18,171895.84
B0090,MANU_0090,Manufacturing,India,Andhra Pradesh,Visakhapatnam,2026-07-24,2026,Wildfire,High,2.74,2.07,83.7,75.16,67,High,20,1208411.29,627657.34,High,193,43,123790.57
B0091,HOSP_0091,Hospitality,Australia,New South Wales,Sydney,2021-05-04,2021,Cyclone,Medium,2.61,15.85,55.71,67.07,55,Medium,10,739866.33,355652.45,Medium,48,33,79434.53
B0092,CONS_0092,Construction,India,Tamil Nadu,Chennai,2026-07-02,2026,Storm,Medium,1.47,45.14,66.3,57.11,57,Medium,17,1030012.22,407799.3,Medium,183,37,164411.09
B0093,RETA_0093,Retail,Japan,Aichi,Nagoya,2023-03-12,2023,Cyclone,Low,1.77,1.58,75.4,56.26,63,High,7,1038927.94,353377.38,Medium,118,20,143669.21
B0094,RETA_0094,Retail,Australia,Victoria,Melbourne,2026-10-04,2026,Wildfire,Low,1.54,-13.03,44.12,58.98,51,Medium,6,506652.38,258013.39,Medium,105,6,32524.63
B0095,ENER_0095,Energy,Germany,Berlin,Berlin,2020-06-14,2020,Flood,Critical,2.37,77.14,71.63,72.47,75,High,27,1577577.19,878619.34,High,321,50,204106.05
B0096,ENER_0096,Energy,Brazil,Bahia,Salvador,2026-08-12,2026,Storm,Medium,1.67,-35.69,80.61,65.22,63,High,11,894356.68,373132.19,Medium,230,14,146856.21
B0097,TRAN_0097,Transportation,Germany,Bavaria,Munich,2025-02-08,2025,Flood,Critical,2.48,48.22,84.15,83.22,84,Critical,27,1258577.05,925747.04,High,139,59,95966.48
B0098,RETA_0098,Retail,United States,Texas,Houston,2023-02-02,2023,Wildfire,High,2.17,-23.81,60.5,72.1,58,Medium,18,687555.76,257882.49,Medium,230,29,61061.14
B0099,CONS_0099,Construction,Germany,Bavaria,Munich,2021-04-11,2021,Wildfire,Medium,0.71,-26.82,75.33,75.14,61,High,8,882018.52,558903.86,Medium,146,20,107630.49
B0100,HOSP_0100,Hospitality,India,Maharashtra,Mumbai,2026-05-13,2026,Wildfire,High,3.0,-37.27,88.13,66.48,61,High,20,944158.74,627078.47,Medium,100,44,140633.15
B0101,FINA_0101,Finance,India,West Bengal,Kolkata,2020-11-05,2020,Storm,High,1.22,11.96,76.59,64.14,79,High,9,532763.99,312580.36,High,225,9,91845.33
B0102,AGRI_0102,Agriculture,United States,New York,New York City,2025-09-06,2025,Flood,High,1.68,4.06,83.01,81.62,81,Critical,21,1394763.73,392026.56,High,156,43,97200.58
B0103,CONS_0103,Construction,India,Maharashtra,Mumbai,2025-10-18,2025,Cyclone,Medium,1.6,14.9,68.59,44.6,46,Medium,15,443371.89,203831.71,Medium,196,39,19222.97
B0104,HEAL_0104,Healthcare,Germany,Bavaria,Munich,2025-03-06,2025,Cyclone,Medium,1.84,9.29,56.93,55.58,46,Medium,5,493563.42,229770.94,Medium,156,12,33010.18
B0105,MANU_0105,Manufacturing,Brazil,Bahia,Salvador,2022-06-04,2022,Wildfire,Low,1.34,13.41,60.0,75.56,72,High,11,1142429.86,410565.79,High,174,23,196006.41
B0106,AGRI_0106,Agriculture,United States,California,Los Angeles,2021-08-12,2021,Storm,High,2.8,31.75,64.63,78.61,72,High,26,1390863.17,961461.16,High,59,60,222696.01
B0107,MANU_0107,Manufacturing,Japan,Tokyo,Tokyo,2024-02-04,2024,Drought,High,2.32,-46.86,86.76,46.95,71,High,20,964332.71,557431.33,High,53,39,101670.79
B0108,TRAN_0108,Transportation,Germany,Hamburg,Hamburg,2024-10-23,2024,Drought,Medium,2.06,-1.68,62.67,80.45,76,High,14,1024923.44,479075.2,High,100,28,182054.88
B0109,HEAL_0109,Healthcare,Australia,New South Wales,Sydney,2020-12-07,2020,Drought,Medium,1.57,-33.07,71.44,61.53,67,High,8,583792.14,246256.5,High,202,18,70612.24
B0110,ENER_0110,Energy,India,Maharashtra,Mumbai,2025-06-07,2025,Storm,Low,1.8,-24.63,51.45,51.71,60,Medium,9,1029252.57,362431.28,Medium,154,25,146623.06
B0111,TRAN_0111,Transportation,Japan,Tokyo,Tokyo,2025-11-09,2025,Storm,High,0.84,29.26,78.67,63.85,87,Critical,13,1255807.05,500674.9,High,229,29,127364.04
B0112,AGRI_0112,Agriculture,United States,Florida,Miami,2024-01-25,2024,Flood,Medium,1.98,-19.09,61.78,35.52,51,Medium,17,1018739.51,297917.67,Medium,113,28,44315.38
B0113,HEAL_0113,Healthcare,United States,Florida,Miami,2020-01-01,2020,Flood,Critical,2.06,61.46,67.46,66.62,67,High,18,818875.12,441302.02,High,98,36,82008.6
B0114,RETA_0114,Retail,India,Andhra Pradesh,Visakhapatnam,2025-06-05,2025,Cyclone,Medium,2.13,-8.94,86.48,68.49,67,High,14,787200.54,357379.15,High,150,24,131044.88
B0115,CONS_0115,Construction,India,Maharashtra,Mumbai,2022-07-08,2022,Drought,Medium,1.61,-25.9,95.96,50.1,71,High,10,1037237.62,214928.21,High,128,17,65714.39
B0116,AGRI_0116,Agriculture,Japan,Tokyo,Tokyo,2025-11-24,2025,Wildfire,Medium,1.12,22.32,63.33,66.04,55,Medium,24,1113287.38,172643.64,Medium,162,56,45397.13
B0117,ENER_0117,Energy,Australia,New South Wales,Sydney,2022-06-16,2022,Cyclone,Critical,1.39,39.14,92.06,56.0,74,High,32,1339814.32,839784.41,High,176,50,154745.12
B0118,RETA_0118,Retail,Australia,Victoria,Melbourne,2026-05-18,2026,Flood,Low,1.84,-50.15,69.06,51.94,56,Medium,8,821555.27,252544.97,Medium,155,8,52244.22
B0119,HEAL_0119,Healthcare,Germany,Bavaria,Munich,2024-07-22,2024,Heatwave,Medium,2.02,11.49,79.94,67.79,71,High,3,1048759.3,538559.41,High,137,15,186514.67
B0120,CONS_0120,Construction,Brazil,Rio de Janeiro,Rio de Janeiro,2026-12-08,2026,Storm,High,1.71,25.2,60.34,74.89,72,High,20,1107194.11,834370.64,High,138,42,64556.98
B0121,CONS_0121,Construction,Japan,Aichi,Nagoya,2020-10-28,2020,Cyclone,Medium,1.6,23.79,64.14,72.1,64,High,15,1132817.15,547176.8,Medium,132,29,60389.99
B0122,ENER_0122,Energy,Japan,Osaka,Osaka,2023-05-03,2023,Heatwave,Medium,1.4,-15.09,81.04,68.47,75,High,16,1301883.27,572701.81,High,242,38,156114.06
B0123,HOSP_0123,Hospitality,Brazil,Bahia,Salvador,2026-06-22,2026,Cyclone,Medium,1.78,-23.1,49.24,72.12,71,High,11,724066.04,322580.48,High,127,25,99020.28
B0124,RETA_0124,Retail,Australia,Queensland,Brisbane,2023-09-07,2023,Storm,High,2.3,22.66,70.55,60.34,54,Medium,17,566139.61,219479.29,Medium,207,32,95532.87
B0125,TRAN_0125,Transportation,Japan,Aichi,Nagoya,2025-12-06,2025,Flood,High,1.84,-1.39,64.38,76.53,74,High,9,772855.12,291065.87,High,249,29,31882.28
B0126,FINA_0126,Finance,Brazil,Bahia,Salvador,2025-09-15,2025,Heatwave,Medium,2.33,-28.3,54.44,51.92,45,Medium,11,165875.83,53885.33,Medium,81,29,26363.34
B0127,RETA_0127,Retail,Japan,Osaka,Osaka,2024-08-14,2024,Storm,Medium,2.68,6.02,69.89,45.94,41,Medium,10,468425.87,109546.77,Medium,72,10,34086.58
B0128,HEAL_0128,Healthcare,Brazil,Rio de Janeiro,Rio de Janeiro,2025-04-24,2025,Flood,Medium,1.31,13.73,79.65,45.86,59,Medium,9,643426.49,224388.01,Medium,146,22,46963.1
B0129,TECH_0129,Technology,Australia,Queensland,Brisbane,2023-07-08,2023,Cyclone,High,2.09,14.91,75.01,88.36,72,High,15,746590.97,575632.77,High,215,18,64711.26
B0130,TRAN_0130,Transportation,United States,New York,New York City,2024-08-15,2024,Heatwave,Low,1.56,17.47,54.54,47.42,41,Medium,12,769749.07,370426.87,Medium,125,30,96105.68
B0131,CONS_0131,Construction,United States,New York,New York City,2022-06-27,2022,Storm,Low,2.25,-3.14,66.77,39.24,59,Medium,9,1139067.62,478546.91,Medium,90,13,56541.26
B0132,MANU_0132,Manufacturing,Japan,Tokyo,Tokyo,2026-10-15,2026,Wildfire,Medium,0.94,6.17,60.83,71.46,70,High,15,1189489.48,457877.58,High,110,26,188321.53
B0133,HEAL_0133,Healthcare,Brazil,Rio de Janeiro,Rio de Janeiro,2021-03-20,2021,Drought,Critical,2.65,-1.5,73.99,74.98,79,High,16,800445.32,504702.15,High,254,40,80025.63
B0134,HEAL_0134,Healthcare,United States,California,Los Angeles,2025-04-06,2025,Flood,Medium,1.43,-27.58,69.98,46.9,62,High,6,1199615.76,555975.37,Medium,198,23,163812.19
B0135,ENER_0135,Energy,Australia,Victoria,Melbourne,2023-02-04,2023,Storm,Medium,0.69,0.29,65.04,62.45,70,High,16,1245599.36,418412.37,High,106,37,43498.2
B0136,TECH_0136,Technology,Japan,Osaka,Osaka,2021-06-11,2021,Heatwave,Medium,1.63,-12.42,42.88,48.4,48,Medium,11,539767.21,313892.61,Medium,178,16,41663.14
B0137,MANU_0137,Manufacturing,India,West Bengal,Kolkata,2023-11-05,2023,Wildfire,High,1.64,-6.11,74.89,80.1,83,Critical,17,1596523.93,852062.54,High,118,22,232339.0
B0138,FINA_0138,Finance,Australia,Victoria,Melbourne,2024-05-03,2024,Wildfire,Critical,2.37,-32.13,81.29,76.58,82,Critical,16,746907.59,396490.17,High,213,35,70131.37
B0139,FINA_0139,Finance,Germany,Bavaria,Munich,2023-04-11,2023,Drought,Medium,1.84,-18.38,71.07,88.18,76,High,9,647700.29,530021.0,High,176,28,33237.12
B0140,TRAN_0140,Transportation,Japan,Aichi,Nagoya,2021-04-17,2021,Drought,High,1.82,-17.71,72.61,65.58,87,Critical,22,1320860.44,419792.71,High,272,39,90853.51
B0141,HEAL_0141,Healthcare,India,Tamil Nadu,Chennai,2021-11-08,2021,Flood,Critical,2.62,67.45,82.74,62.98,76,High,15,776406.97,630216.14,High,232,28,36571.0
B0142,CONS_0142,Construction,United States,California,Los Angeles,2026-04-10,2026,Drought,Medium,1.49,34.18,55.82,59.6,49,Medium,16,890404.3,435310.76,Medium,170,34,114255.71
